time_ms,dt,cur_x,cur_y,cur_z,cur_yaw,tgt_x,tgt_y,tgt_z,tgt_yaw,v_des_body_x,v_des_body_y,cmd_x,cmd_y,cmd_z,cmd_yaw,out_I_x,out_I_y,inn_I_x,inn_I_y,total_error
1776700913165,0.106,-1.741750170814862,0.7289736596850818,1.153184335868539,-0.03212821064565423,-2.0,0.0,2.0,0.0,-0.1289583173938834,-0.3808258485693752,1.9895648524971232,-15.85033864937716,60.0,17.41220713782424,-0.6,-0.6,-0.2190504790117494,-0.45081796593147466,1.1468183551928448
1776700913263,0.098,-1.779477833210871,0.6825596705037662,1.1663118673788775,-0.028907585416098985,-2.0,0.0,2.0,0.0,-0.1119989585726778,-0.3566660171463577,-2.6366146620529936,-20.4130618930944,60.0,0.5988395539592222,-0.6,-0.6,-0.19365600648766465,-0.43828617423577193,1.0997970868832472
1776700913360,0.097,-1.8178512430594123,0.6357196387159039,1.184460118378317,-0.001900085578452524,-2.0,0.0,2.0,0.0,-0.10244743089579918,-0.3300550739297133,-1.3825161901032805,-18.308982569382973,60.0,-6.5910638933014445,-0.6,-0.6,-0.1653090667215806,-0.4233886564541639,1.0499632980345501
1776700913463,0.103,-1.854587863997173,0.5894451498362306,1.2011926900829748,0.008603842045384717,-2.0,0.0,2.0,0.0,-0.08734189281832687,-0.3059824336127335,-0.734852189440113,-17.06220560052572,60.0,-2.8605015344123874,-0.6,-0.6,-0.13717188698910493,-0.4089481431701571,1.0033361312836468
1776700913562,0.099,-1.8904379755339626,0.542717038624554,1.2177582483130858,-0.01886012606758436,-2.0,0.0,2.0,0.0,-0.06142527485896737,-0.28456754851917493,1.24077340541746,-14.748006026224248,60.0,7.5632177149941295,-0.6,-0.6,-0.10829049931711723,-0.3897244321722211,0.9583568121011684
1776700913663,0.101,-1.9245181768469153,0.4959255662836688,1.2340673068546135,-0.025209831389496444,-2.0,0.0,2.0,0.0,-0.043172182577266044,-0.26113400689077065,2.254851696636366,-12.984317184335406,60.0,2.718912775268998,-0.6,-0.6,-0.07976099764681227,-0.36846329743538137,0.9155831821026618
1776700913761,0.098,-1.9750724146735665,0.45335585672597745,1.2690523165073355,0.02026425120649418,-2.0,0.0,2.0,0.0,-0.02929506841645951,-0.23813321819013783,7.063307916771655,-11.99601163587137,60.0,-12.109194081419629,-0.6,-0.6,-0.031225471712595203,-0.3502637570347791,0.8604867421066079
1776700913864,0.103,-1.9858403469460997,0.40021700382408165,1.2680295702274123,0.012164327033041765,-2.0,0.0,2.0,0.0,-0.021658508468136085,-0.21186072164184758,0.23910338781253732,-8.219556230739165,60.0,1.303473274868927,-0.6,-0.6,-0.022042780028889687,-0.31908147133352666,0.8343589491256138
1776700913967,0.103,-2.007976918786663,0.35236428643336515,1.2831082432668257,-0.0009103050323787991,-2.0,0.0,2.0,0.0,-0.00782380171305861,-0.18818934323380912,3.248389567162919,-7.184416267013973,60.0,3.090210850972566,-0.5991783773649737,-0.6,-0.0007556295000017213,-0.2905921250926309,0.7988479282435428
1776700914062,0.095,-2.0251105802949696,0.3024825665045631,1.2988903143308528,0.030626003179325914,-2.0,0.0,2.0,0.0,-0.004379504332858016,-0.16318370076856123,3.2451079052375027,-4.151178230189916,60.0,-9.437115490301467,-0.5967928722369515,-0.6,0.017481383357660515,-0.25676090178586813,0.7639902064954943
1776700914164,0.102,-2.0341252804166348,0.2533812331877594,1.3147569062185442,0.04688321320088639,-2.0,0.0,2.0,0.0,-0.001309191527475864,-0.1387817556611727,1.9790174198484618,-2.9109880571002433,60.0,-6.075620121068541,-0.5933120936344548,-0.6,0.028653825489488943,-0.22229174419990572,0.7313854535540372
1776700914263,0.099,-2.038719778960972,0.20285988730658389,1.330313323115468,0.015492340134018926,-2.0,0.0,2.0,0.0,0.005812179329273008,-0.11353360878643425,1.5347329201202138,-0.23322816486604336,60.0,6.8662762958379915,-0.5894788355173186,-0.6,0.03460584099507135,-0.18308746503408327,0.7008078198461216
1776700914362,0.099,-2.0387928629045087,0.15273565860901026,1.3473782845810902,-0.015023097725890068,-2.0,0.0,2.0,0.0,0.009010306149469393,-0.08824242936892097,0.6836364093952786,1.8046464608350876,60.0,8.118790596275208,-0.5856383420897723,-0.6,0.03481794413912492,-0.14170379518715825,0.671377815435822
1776700914463,0.101,-2.0308829204544168,0.10212795144852763,1.3625533218011379,-0.0032829449430445135,-2.0,0.0,2.0,0.0,0.003998091643449389,-0.06305119000706533,-1.046006308925321,3.804054480173851,60.0,-2.6321579178654804,-0.5825191671238762,-0.6,0.027145709552722934,-0.09749049879410335,0.646314274010431
1776700914562,0.099,-2.0192919896213106,0.05342292588691688,1.3795819338978021,0.02817932189092756,-2.0,0.0,2.0,0.0,-0.003056128203404585,-0.03864069549433818,-2.045588131377269,5.740436686289748,60.0,-8.979823652939569,-0.5806092601513665,-0.6,0.0166291167115312,-0.05230365716318556,0.6230126536595054
1776700914662,0.1,-2.0061933490448913,0.009254246287562074,1.3959482613121392,0.005602643357546351,-2.0,0.0,2.0,0.0,-0.00859614588164024,-0.016579222463120734,-2.974919284876773,6.6411071704753075,60.0,5.1494759668492645,-0.5799899252468773,-0.6,0.0029185271917882925,-0.009720206399512828,0.6041543690635451
1776700914761,0.099,-1.9937824148781482,-0.027627150813670513,1.411888818424276,-0.027061550751947827,-2.0,0.0,2.0,0.0,-0.014766064259161391,0.0014692712994932456,-3.624747958774003,6.837670625034056,60.0,9.217546947486024,-0.5806054661739406,-0.5972649120694467,-0.011947649164727464,0.026957326620109898,0.5887925608575766
1776700914861,0.1,-1.984357235519797,-0.056967081939260845,1.4276617946127235,0.01268260159966622,-2.0,0.0,2.0,0.0,-0.01925202441089815,0.016897695067403032,-3.199851874215319,6.794611555271032,60.0,-10.147361441171352,-0.5821697426219609,-0.5915682038755206,-0.02292517627984904,0.05810420023413461,0.5753789758508612
1776700914960,0.099,-1.9795127264316306,-0.07655044731106125,1.443199701448109,0.03477653462605287,-2.0,0.0,2.0,0.0,-0.020989627620936178,0.02734176084770962,-2.481168897544894,5.963395022033145,60.0,-7.02537863814427,-0.5841979827052295,-0.5839897095917255,-0.029163824989116592,0.0805510002710996,0.5624111234935381
1776700915073,0.113,-1.9847105050343599,-0.08865565450029197,1.461572458939217,-0.006203967311058024,-2.0,0.0,2.0,0.0,-0.0195666778189279,0.03272763441499674,-0.7889717174620646,4.7752774326002285,60.0,9.001613851202125,-0.5859256956363468,-0.5739716206331925,-0.026252280836740326,0.09638644383172151,0.5458917573145253
